path,size_kb,referenced
public/poke,58924,no
public/backup/img1.jpg,32644,yes
public/backup/img3.jpg,26728,yes
public/backup/creation4.jpeg,24444,yes
public/backup/creation5.jpeg,15932,yes
public/backup/IMG_2746,13900,no
public/backup/creation6.jpeg,13392,yes
public/backup/img2.jpg,13260,yes
public/backup/our.jpeg,11176,no
public/about/our.mov,10156,yes
public/backup/img.jpg,9780,yes
public/backup/creation1.jpg,8560,yes
public/backup/creation2.jpg,7760,yes
public/sushi,6140,yes
public/our.webp,5920,no
public/img7.jpg,4940,no
public/img5.jpg,3588,yes
public/img4.jpg,3528,yes
public/img8.jpg,3384,no
public/final-img.png,2460,yes
public/img6.jpg,1668,no
public/img1.jpg,812,yes
public/img2.jpg,768,yes
public/img3.jpg,556,yes
public/creation1.jpg,308,yes
public/creation5.jpeg,256,yes
public/creation6.jpeg,216,yes
public/img.jpg,212,yes
public/creation4.jpeg,192,yes
public/backup/creation3.jpeg,168,yes
public/creation2.jpg,164,yes
public/IMG_2746,152,no
public/our.jpeg,148,no
public/about/7.jpg,144,yes
public/img0.jpeg,104,no
public/creation3.jpeg,100,yes
public/about/8.jpeg,80,yes
public/about/2.jpeg,80,yes
public/about/1.jpeg,80,yes
public/about/4.jpg,76,yes
public/about/6.jpg,72,yes
public/about/3.jpeg,60,yes
public/about/5.jpg,40,yes
public/logo-sushi.png,36,yes
src/assets/menu/PHOTOS/A7406120-2.webp,24,no
public/menu/PHOTOS/A7406120-2.webp,24,no
src/assets/menu/PHOTOS/tempura,20,yes
public/menu/PHOTOS/tempura,20,yes
src/assets/menu/poke,16,no
public/menu/poke,16,no
src/assets/menu/dessert/Makis,16,no
src/assets/menu/accompagnement/salade,16,no
src/assets/menu/accompagnement/chou,16,no
src/assets/menu/PHOTOS/super,16,yes
src/assets/menu/PHOTOS/samoussa,16,yes
src/assets/menu/PHOTOS/salade,16,no
src/assets/menu/PHOTOS/nem,16,yes
src/assets/menu/PHOTOS/love,16,yes
src/assets/menu/PHOTOS/karaage.webp,16,no
src/assets/menu/PHOTOS/Salade,16,no
src/assets/menu/PHOTOS/Ramen,16,no
src/assets/menu/PHOTOS/Makis,16,no
src/assets/menu/PHOTOS/IMG_3246,16,no
src/assets/menu/PHOTOS/IMG_2935,16,no
src/assets/menu/PHOTOS/IMG_2747,16,no
src/assets/menu/PHOTOS/IMG_2741,16,no
src/assets/menu/PHOTOS/Gyoza,16,yes
src/assets/menu/PHOTOS/F122123E-056A-4512-93FC-9A1D363EE9FE.webp,16,no
src/assets/menu/PHOTOS/Box,16,yes
src/assets/menu/PHOTOS/A7401598.webp,16,no
src/assets/menu/PHOTOS/A7401567.webp,16,no
public/menu/dessert/Makis,16,no
public/menu/accompagnement/salade,16,no
public/menu/accompagnement/chou,16,no
public/menu/PHOTOS/super,16,yes
public/menu/PHOTOS/samoussa,16,yes
public/menu/PHOTOS/salade,16,no
public/menu/PHOTOS/nem,16,yes
public/menu/PHOTOS/love,16,yes
public/menu/PHOTOS/karaage.webp,16,no
public/menu/PHOTOS/Salade,16,no
public/menu/PHOTOS/Ramen,16,no
public/menu/PHOTOS/Makis,16,no
public/menu/PHOTOS/IMG_3246,16,no
public/menu/PHOTOS/IMG_2935,16,no
public/menu/PHOTOS/IMG_2747,16,no
